patent_abstract,patent_title
A GPS receiver includes a satellite receiver/processor having an input that receives input signals from at least one GPS satellite. The output of the receiver/processor provides satellite-related navigation information. A neural network receives the satellite-related information to obtain an output signal representative of receiver-related navigation information. The neural network includes a first node layer connected to a second node layer through a first connection layer and a third node layer connected to the second node layer through a second connection layer. Each of the node layers comprises a plurality of neurons.,GPS navigation system using neural networks
A GPS receiver includes a satellite receiver/processor having an input that receives input signals from at least one GPS satellite. The output of the receiver/processor provides satellite-related navigation information. A neural network receives the satellite-related information to obtain an output signal representative of receiver-related navigation information. The neural network includes a first node layer connected to a second node layer through a first connection layer and a third node layer connected to the second node layer through a second connection layer. Each of the node layers comprises a plurality of neurons.,GPS navigation system using neural networks
"GPS satellite (4) ranging signals (6) received (32) on comm1, and DGPS auxiliary range correction signals and pseudolite carrier phase ambiguity resolution signals (8) from a fixed known earth base station (10) received (34) on comm2, at one of a plurality of vehicles/aircraft/automobiles (2) are computer processed (36) to continuously determine the one's kinematic tracking position on a pathway (14) with centimeter accuracy. That GPS-based position is communicated with selected other status information to each other one of the plurality of vehicles (2), to the one station (10), and/or to one of a plurality of control centers (16), and the one vehicle receives therefrom each of the others' status information and kinematic tracking position. Objects (22) are detected from all directions (300) by multiple supplemental mechanisms, e.g., video (54), radar/lidar (56), laser and optical scanners. Data and information are computer processed and analyzed (50,52,200,452) in neural networks (132, FIGS. 6-8) in the one vehicle to identify, rank, and evaluate collision hazards/objects, an expert operating response to which is determined in a fuzzy logic associative memory (484) which generates control signals which actuate a plurality of control systems of the one vehicle in a coordinated manner to maneuver it laterally and longitudinally to avoid each collision hazard, or, for motor vehicles, when a collision is unavoidable, to minimize injury or damage therefrom. The operator is warned by a heads up display and other modes and may override. An automotive auto-pilot mode is provided.",GPS vehicle collision avoidance warning and control system and method
"GPS satellite (4) ranging signals (6) received (32) on comm1, and DGPS auxiliary range correction signals and pseudolite carrier phase ambiguity resolution signals (8) from a fixed known earth base station (10) received (34) on comm2, at one of a plurality of vehicles/aircraft/automobiles (2) are computer processed (36) to continuously determine the one's kinematic tracking position on a pathway (14) with centimeter accuracy. That GPS-based position is communicated with selected other status information to each other one of the plurality of vehicles (2), to the one station (10), and/or to one of a plurality of control centers (16), and the one vehicle receives therefrom each of the others' status information and kinematic tracking position. Objects (22) are detected from all directions (300) by multiple supplemental mechanisms, e.g., video (54), radar/lidar (56), laser and optical scanners. Data and information are computer processed and analyzed (50,52,200,452) in neural networks (132, FIGS. 6-8) in the one vehicle to identify, rank, and evaluate collision hazards/objects, an expert operating response to which is determined in a fuzzy logic associative memory (484) which generates control signals which actuate a plurality of control systems of the one vehicle in a coordinated manner to maneuver it laterally and longitudinally to avoid each collision hazard, or, for motor vehicles, when a collision is unavoidable, to minimize injury or damage therefrom. The operator is warned by a heads up display and other modes and may override. An automotive auto-pilot mode is provided.",GPS vehicle collision avoidance warning and control system and method
"GPS satellite (4) ranging signals (6) received (32) on comm1, and DGPS auxiliary range correction signals and pseudolite carrier phase ambiguity resolution signals (8) from a fixed known earth base station (10) received (34) on comm2, at one of a plurality of vehicles/aircraft/automobiles (2) are computer processed (36) to continuously determine the one's kinematic tracking position on a pathway (14) with centimeter accuracy. That GPS-based position is communicated with selected other status information to each other one of the plurality of vehicles (2), to the one station (10), and/or to one of a plurality of control centers (16), and the one vehicle receives therefrom each of the others' status information and kinematic tracking position. Objects (22) are detected from all directions (300) by multiple supplemental mechanisms, e.g., video (54), radar/lidar (56), laser and optical scanners. Data and information are computer processed and analyzed (50,52,200,452) in neural networks (132, FIGS. 6-8) in the one vehicle to identify, rank, and evaluate collision hazards/objects, an expert operating response to which is determined in a fuzzy logic associative memory (484) which generates control signals which actuate a plurality of control systems of the one vehicle in a coordinated manner to maneuver it laterally and longitudinally to avoid each collision hazard, or, for motor vehicles, when a collision is unavoidable, to minimize injury or damage therefrom. The operator is warned by a heads up display and other modes and may override. An automotive auto-pilot mode is provided.",GPS vehicle collision avoidance warning and control system and method
"A method for producing a graph representation of an input image, the method including the procedures of applying convolutional layers of a trained convolutional neural network on the input image, defining a receptive field of a last convolutional layer of the trained convolutional neural network as a vertex of the graph representation, defining a vector of a three dimensional output matrix of the last convolutional layer that is mapped to the receptive field as a descriptor for the vertex and determining an edge between a pair of vertices of the graph representation by applying an operator on a pair of descriptors respective of the pair of vertices.",Graph image representation from convolutional neural networks
"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for implementing grid Long Short-Term Memory (LSTM) neural networks that includes a plurality of N-LSTM blocks arranged in an N-dimensional grid. Each N-LSTM block is configured to: receive N input hidden vectors, the N input hidden vectors each corresponding to a respective one of the N dimensions; receive N input memory vectors, the N input memory vectors each corresponding to a respective one of the N dimensions; and, for each of the dimensions, apply a respective transform for the dimension to the memory hidden vector corresponding to the dimension and the input hidden vector corresponding to the dimension to generate a new hidden vector corresponding to the dimension and a new memory vector corresponding to the dimension.",Grid long short-term memory neural networks
"Light weight personal handheld home monitoring and managing device, which includes a Sound Sensor network/array of Sound Sensor networks combined with an Artificial Neural Network (ANN) and a build in system and methods, making this device an intelligent and portable apparatus to address specific health issues. The combined apparatus is used for managing and/or guidance and/or diagnosing and/or controlling and managing purposes. This present version of the apparatus will address pulmonary disorders and diseases or similar ailments.",Handheld home monitoring sensors network device
"New neural networks for handwriting recognition may be build from existing neural networks. An existing neural network pre-trained for a starting language is chosen based on a desired target language. The neural network is modified so that it may be used to recognize characters of the target language, and the modified neural network is used in a handwriting recognizer for the target language. Modification includes copying one or more of the primary outputs of the existing neural network. An appropriate starting language may be chosen based on the desired target language. In addition, a “super network” may be provided that is a relatively large neural network configured to recognize characters from a number of different languages. One may customize a handwriting recognizer using such a super network by programming a mask to block outputs from the super network that are not necessary for the language desired to be recognized.",Handwriting recognition using neural networks
"A method and apparatus for calculating an expected access time associated with one of a plurality of disk drive commands employs one or more neural networks. A plurality of disk drive commands received from an external source are stored in a memory, typically in a queue. Using a neural network, an expected access time associated with each of the queued commands is determined. Determining the expected access time associated with each of the queued commands involves determining a time for performing a seek and settle operation for each of the queued commands and a latency time associated with each of the queued commands. The command indicated by the neural network as having a minimum expected access time relative to access times associated with other ones of the queued commands is identified for execution. A first neural network may be used to determine an expected access time associated with each read command stored in a read command queue and a second neural network may be used to determine an expected access time associated with each write command stored in a write command queue. A pair of read and write neural networks may be associated with each of a number of read/write transducers employed in a disk drive system. The neural network may be trained at the time of manufacture and on a periodic basis during the service life of the disk drive.",Hard disk drive employing neural network for performing expected access time calculations
"Examples herein relate to hardware accelerators for calculating node values of neural networks. An example hardware accelerator may include a crossbar array programmed to calculate node values of a neural network and a current comparator to compare an output current from the crossbar array to a threshold current according to an update rule to generate new node values. The crossbar array has a plurality of row lines, a plurality of column lines, and a memory cell coupled between each unique combination of one row line and one column line, where the memory cells are programmed according to a weight matrix. The plurality of row lines are to receive an input vector of node values, and the plurality of column lines are to deliver an output current to be compared with the threshold current.",Hardware accelerators for calculating node values of neural networks
"An analog-digital crosspoint-network includes a plurality of rows and columns, a plurality of synaptic nodes, each synaptic node of the plurality of synaptic nodes disposed at an intersection of a row and column of the plurality of rows and columns, wherein each synaptic node of the plurality of synaptic nodes includes a weight associated therewith, a column controller associated with each column of the plurality of columns, wherein each column controller is disposed to enable a weight change at a synaptic node in communication with said column controller, and a row controller associated with each row of the plurality of rows, wherein each row controller is disposed to control a weight change at a synaptic node in communication with said row controller.",Hardware analog-digital neural networks
"This application discloses hardware suitable for use in a neural network system. It makes use of Z-technology modules, each containing densely packaged electronic circuitry. The modules provide access planes which are electrically connected to circuitry located on planar surfaces interfacing with such access planes. One such planar surface comprises a resistive feedback network. By combining two Z-technology modules, whose stacked chips are in planes perpendicular to one another, and using switching networks between the two modules, the system provides bidirectional accessibility of each individual electronic element in the neural network to most or all of the other individual electronic elements in the system.",Hardware for electronic neural network
"Systems, methods, and computer media for implementing convolutional neural networks efficiently in hardware are disclosed herein. A memory is configured to store a sparse, frequency domain representation of a convolutional weighting kernel. A time-domain-to-frequency-domain converter is configured to generate a frequency domain representation of an input image. A feature extractor is configured to access the memory and, by a processor, extract features based on the sparse, frequency domain representation of the convolutional weighting kernel and the frequency domain representation of the input image. The feature extractor includes convolutional layers and fully connected layers. A classifier is configured to determine, based on extracted features, whether the input image contains an object of interest. Various types of memory can be used to store different information, allowing information-dense data to be stored in faster (e.g., faster access time) memory and sparse data to be stored in slower memory.",Hardware-efficient deep convolutional neural networks
"This invention relates to sensor arrangements and signal processing architectures for touch-based user interfaces comprising multiple sensor types and other arrangements so as to create user interface output signals responsive to the touch of at least one human finger. Sensor types and other arrangements can include capacitive tactile sensor arrays, optical tactile sensor arrays, proximity sensor arrays, pressure sensor arrays, and video cameras. At least one software algorithm comprises at least one of a functional partition (wherein some user interface output signals are derived only from a pre-specified sensor), decision-based selection (wherein some user interface output signals are selectively derived from a selected sensor), or sensor-fusing (wherein user interface output signals are obtained from threshold testing, conditional testing, vector quantization, algorithms employing parameterized calculations, algorithms employing compensation calculations and operations, artificial neural networks, etc.)",Heterogeneous tactile sensing via multiple sensor types
"This invention relates to sensor arrangements and signal processing architectures for touch-based user interfaces comprising multiple sensor types and other arrangements so as to create user interface output signals responsive to the touch of at least one human finger. Sensor types and other arrangements can include capacitive tactile sensor arrays, optical tactile sensor arrays, proximity sensor arrays, pressure sensor arrays, and video cameras. At least one software algorithm comprises at least one of a functional partition (wherein some user interface output signals are derived only from a pre-specified sensor), decision-based selection (wherein some user interface output signals are selectively derived from a selected sensor), or spatial information processing (wherein user interface output signals are obtained from threshold testing, conditional testing, vector quantization, algorithms employing parameterized calculations, algorithms employing compensation calculations and operations, artificial neural networks, etc.).",Heterogeneous tactile sensing via multiple sensor types using spatial information processing
"Sensor arrangements and signal processing for touch-based user interfaces comprising multiple sensor types and other arrangements so as to create user interface output signals responsive to touch. Various types of sensors and other measurement arrangements can include capacitive tactile sensor arrays, optical tactile sensor arrays, proximity sensor arrays, pressure sensor arrays, and video cameras. In one approach, spatial information processing acts on initial image processing data acting separately on the data or measurements provided by each sensor. At least one software algorithm comprises at least one of a functional partition (wherein some user interface output signals are derived only from a pre-specified sensor), decision-based selection (wherein some user interface output signals are selectively derived from a selected sensor), or spatial information processing (wherein user interface output signals are obtained from threshold testing, conditional testing, vector quantization, algorithms employing parameterized calculations, algorithms employing compensation calculations and operations, artificial neural networks, etc.).",Heterogeneous tactile sensing via multiple sensor types using spatial information processing acting on initial image processed data from each sensor
"The present invention defines a method for emulating an iterated process represented by a series of related tasks and a control mechanism that monitors and enables the iterative execution of those tasks until data associated with the process converges to predetermined goals or objectives. The invention defines a method in which fuzzy neural networks and discreet algorithms are applied to perform the process tasks and in which configurable, reloadable finite state machines are applied to control the execution of those tasks. In particular, the present invention provides a method for emulating the process of designing integrated circuit (IC) applications and printed circuit board (PCB) applications for the purpose of simulating, emulating, analyzing, optimizing and predicting the behavioral and physical characteristics of the application at the earliest possible stage of the process. The invention applies fuzzy neural networks and configurable, reloadable finite state machines to emulate the IC or PCB design process, enabling the invention to emulate the the computer aided design (CAD) tools used to perform the design process tasks as well as the individuals using those tools. By emulating the combination of man and machine performances, the invention can more accurately predict the results of a given task than tools that consider only the machine element. The invention also provides a means to adapt the performance and behavior of any element of the invention using historical data compiled from previous design or manufacturing experiences, allowing the invention to incorporate the knowledge gained from previous designs into current designs.",Hierarchical adaptive state machine for emulating and augmenting software
"Hierarchical branching deep convolutional neural networks (HD-CNNs) improve existing convolutional neural network (CNN) technology. In a HD-CNN, classes that can be easily distinguished are classified in a higher layer coarse category CNN, while the most difficult classifications are done on lower layer fine category CNNs. Multinomial logistic loss and a novel temporal sparsity penalty may be used in HD-CNN training. The use of multinomial logistic loss and a temporal sparsity penalty causes each branching component to deal with distinct subsets of categories.",Hierarchical deep convolutional neural network for image classification
"Hierarchical routing for two-way information flow and structural plasticity in a neural network is provided. In one embodiment the network includes multiple core modules, wherein each core module has a plurality of incoming connections with predetermined addresses. Each core module also has a plurality of outgoing connections such that each outgoing connection targets an incoming connection in a core module among the multiple core modules. The network also has a routing system that selectively routes signals among the core modules based on a reconfigurable hierarchical organization of the core modules. The network approximates a fully connected network such that each outgoing connection on any core module can target and reach any incoming connection on any core module without requiring a fully connected network. The routing system provides two-way information flow between neurons utilizing hierarchical routing.",Hierarchical routing for two-way information flow and structural plasticity in neural networks
"Pattern recognition, for instance optical character recognition, is achieved by training a neural network, scanning an image, segmenting the image to detect a pattern, preprocessing the detected pattern, and applying the preprocessed detected pattern to the trained neural network. The preprocessing includes determining a centroid of the pattern and centrally positioning the centroid in a frame containing the pattern. The training of the neural network includes randomly displacing template patterns within frames before applying the template patterns to the neural network.",High accuracy optical character recognition using neural networks with centroid dithering
"Nodal outputs are discretized to values of S2.sup.n where n is an integer and S is equal to +1 or -1. During forward propagation, this offers the advantage of forming a product of a nodal output and a weight using a simple shift operation rather than a multiply operation. Replacing multiply operations with shift operations through out a neural network improves response times and permits building larger networks that have broader applicability. Training is also improved by increasing the efficiency of backward propagation. The multiplications involved in backward propagation are reduced To shift operations by discretizing the errors associated with each node so that they are represented as 2.sup.n where n is an integer and S is equal to +1 or -1.",High efficiency learning network
"An apparatus includes a first memory interface circuit, a second memory interface circuit, and a compression circuit coupled between the first memory interface circuit and the second memory interface circuit. The compression circuit may be configured to receive a coding block of data via the first memory interface circuit, generate a reduced size representation of the coding block, and write the reduced size representation of the coding block to an external memory using the second memory interface circuit. The reduced size representation of said coding block generally comprises a first bit map, a second bit map, and zero or more non-zero values.",High throughput hardware unit providing efficient lossless data compression in convolution neural networks
"High-gain MOCVD-grown (metal-organic chemical vapor deposition) AlGaAs/GaAs/AlGaAs n-p-n double heterojunction bipolar transistors (DHBTs) (14) and Darlington phototransistor pairs (14, 16) are provided for use in optical neural networks and other optoelectronic integrated circuit applications. The reduced base (22) doping level used herein results in effective blockage of Zn out-diffusion, enabling a current gain of 500, higher than most previously reported values for Zn-diffused-base DHBTs. Darlington phototransistor pairs of this material can achieve a current gain of over 6,000, which satisfies the gain requirement for optical neural network designs, which advantageously may employ novel neurons (10) comprising the Darlington phototransistor pair in series with a light source (12).",High-gain AlGaAs/GaAs double heterojunction Darlington phototransistors for optical neural networks
"The present invention relates to a method and system for classifying high-resolution melt (“HRM”) curves, and, more specifically, to a method and system for classifying HRM curves by genotype where the curves are represented by a mathematical function with varying coefficient values.",High-resolution melt curve classification using neural networks
"A method for magnetic resonance imaging (MRI) scans a field of view and acquires sub-sampled multi-channel k-space data U. An imaging model A is estimated. Sub-sampled multi-channel k-space data U is divided into sub-sampled k-space patches, each of which is processed using a deep convolutional neural network (ConvNet) to produce corresponding fully-sampled k-space patches, which are assembled to form fully-sampled k-space data V, which is transformed to image space using the imaging model adjoint Aadj to produce an image domain MRI image. The processing of each k-space patch ui preferably includes applying the k-space patch ui as input to the ConvNet to infer an image space bandpass-filtered image yi, where the ConvNet comprises repeated de-noising blocks and data-consistency blocks; and estimating the fully-sampled k-space patch vi from the image space bandpass-filtered image yi using the imaging model A and a mask matrix.",Highly-scalable image reconstruction using deep convolutional neural networks with bandpass filtering
"An on-line training neural network for process control system and method trains by retrieving training sets from the stream of process data. The neural network detects the availability of new training data, and constructs a training set by retrieving the corresponding input data. The neural network is trained using the training set. Over time, many training sets are presented to the neural network. When multiple presentations are needed to effectively train, a buffer of training sets is filled and updated as new training data becomes available. The size of the buffer is selected in accordance with the training needs of the neural network. Once the buffer is full, a new training set bumps the oldest training set off the top of the buffer stack. The training sets in the buffer stack can be presented one or more times each time a new training set is constructed. An historical database of timestamped data can be used to construct training sets when training input data has a time delay from sample time to availability for the neural network. The timestamps of the training input data are used to select the appropriate timestamp at which input data is retrieved for use in the training set. Using the historical database, the neural network can be trained retrospectively by searching the historical database and constructing training sets based on past data.",Historical database training method for neural networks
"An on-line training neural network for controlling a process for producing a product having at least one product property that trains by retrieving training sets from a stream of process data. The neural network detects the availability of new training data, and constructs a training set by retrieving the corresponding input data. The neural network is trained using the training set. Over time, many training sets are presented to the neural network. When multiple presentations are needed to effectively train, a buffer of training sets is filled and updated as new training data becomes available. The size of the buffer is selected in accordance with the training needs of the neural network. Once the buffer is full, a new training set bumps the oldest training set off the top of the buffer stack. The training sets in the buffer stack can be presented one or more times each time a new training set is constructed. An historical database of timestamped data can be used to construct training sets when training input data has a time delay from sample time to availability for the neural network. The timestamps of the training input data are used to select input data for use in the training set. Using the historical database, the neural network can be trained retrospectively by searching the historical database and constructing training sets based on past data.",Historical database training method for neural networks
"An on-line training neural network for process control system and method trains by retrieving training sets from the stream of process data. The neural network detects the availability of new training data, and constructs a training set by retrieving the corresponding input data. The neural network is trained using the training set. Over time, many training sets are presented to the neural network. When multiple presentations are needed to effectively train, a buffer of training sets is filled-and updated as new training data becomes available. The size of the buffer is selected in accordance with the training needs of the neural network. Once the buffer is full, a new training set bumps the oldest training set off the top of the buffer stack. The training sets in the buffer stack can be presented one or more times each time a new training set is constructed. An historical database of timestamped data can be used to construct training sets when training input data has a time delay from sample time to availability for the neural network. The timestamps of the training input data are used to select the appropriate timestamp at which input data is retrieved for use in the training set. Using the historical database, the neural network can be trained retrospectively by searching the historical database and constructing training sets based on past data.",Historical database training method for neural networks
""" An interceptor's point of impact on a targeted missile is quickly revealed in the milliseconds preceeding and following the impact by illuminating the target with radar signals at a high pulse repetition rate and observing the reflected radar echoes on an A-scope display. The position within the returned radar echo of a double echo and related changing phenomenon indicates the point of impact. Failing intercept, the miss distance is computed from the relative slant ranges to the targeted missile, the interceptor, and the double echo. The type warhead killed is revealed by a spectrograph slaved to the radar's antenna. Various techniques assist with the interpretation of the displayed patterns, including subtraction of previously stored patterns and display of the difference, display of characteristic patterns of various known missiles and interceptors stored in """"look up"""" tables, and neural networks. """,Hit verification technique
"Systems and methods for determining the position and classification of an object and which may provide signals that control deployment of an active restraint device, for example. Using a pulsed laser light beam from a laser source that is spread and preferably diffused to avoid ocular damage, an interference pattern is returned to a sensing module through a spectral filter. There it is optionally combined with a reference beam from the laser source, modified to emulate coherence length effects, and incident upon a phase transmission holographic template that may be segmented into regions for example. Each region of the holographic template contains Fourier transform images of occupant types. Behind the holographic template is a detector array that is sensitive to the laser light. An interference pattern derived from the object is convoluted or cross-correlated with the template. When an match occurs, a bright spot appears on the detector array. The location of this spot within the region contains position information. The relative brightness and location of spots within each region provide information relative to their classification. Using fuzzy logic, neural networks, or an algebraic algorithm, this information is decoded, and a decision made as to the type and location of the object. With this information, a deployment algorithm for the active restraint device, in conjunction with other information, can make the appropriate choice on whether or not to deploy the device.",Holographic object position and type sensing system and method
"A method of determining properties relating to the manufacture of an injection-molded article is described. The method makes use of a hybrid model which includes at least one neural network and at least one rigorous model. In order to forecast (or predict) properties relating to the manufacture of a plastic molded part, a hybrid model is used which includes: one or more neural networks NN1, NN2, NN3, NN4, . . . , NNk; and one or more rigorous models R1, R2, R3, R4, . . . , which are connected to one another. The rigorous models are used to map model elements which can be described in mathematical formulae. The neural model elements are used to map processes whose relationship is present only in the form of data, as it is typically impossible to model such processes rigorously. As a result, a forecast (or prediction) relating to properties including, for example, the mechanical, thermal and rheological processing properties and relating to the cycle time of a plastic molded part can be made.",Hybrid model and method for determining manufacturing properties of an injection-molded part
"A method of predicting the properties (e.g., mechanical and/or processing properties) of an injection-molded article is disclosed. The method makes use of a hybrid model which includes at least one neural network. In order to forecast (or predict) properties with respect to the manufacture of a plastic molded article, a hybrid model is used in the present invention, which includes: one or more neural networks NN1, NN2, NN3, NN4, . . . , NNk; and optionally one or more rigorous models R1, R2, R3, R4, . . . , which are connected to one another. The rigorous models are used to map model elements which can be described in mathematical formulae. The neural networks are used to map processes whose relationship is present only in the form of data, as it is in effect impossible to model such processes rigorously. As a result, a forecast relating to properties including the mechanical, thermal and rheological processing properties and relating to the process time of a plastic molded article is obtained.",Hybrid model and method for determining mechanical properties and processing properties of an injection-molded part
"The hybrid artificial immune system consists of three main layers, including a solution application layer that interacts with the environment, a solution generation layer that solves combinatorial optimization problems and a modeling layer that analyzes problems and presents solution scenarios. The system solves evolutionary multi-objective optimization problems in network computing, robotics, artificial neural networks, protein network modeling, evolutionary systems and evolutionary hardware.",Hybrid multi-layer artificial immune system
"A hybrid network 100 which combines a neural network of the self-organized type 110 with a plurality of neural networks of the supervised learning type 150,160,170 to successfully retrieve building address information from a database using imperfect textual retrieval keys. Generally, the self-organized type is a Kohonen Feature Map network, whereas each supervised learning type is a Back Propagation network. A user query 105 produces an activation response 111,112,113 from the self-organized network 110 and this response, along with a new query 151,161,171 derived from the original query 105, activates a selected one of the learning networks R.sub.1,R.sub.2,R.sub.M to retrieve the requested information.",Hybrid multi-layer neural networks
"A system and a method for recognizing patterns comprises a first stage for xtracting features from inputted patterns and for providing topological representations of the characteristics of the inputted patterns and a second stage for classifying and recognizing the inputted patterns. The first stage comprises two one-layer neural networks and the second stage comprises a feedforward two-layer neural network. Supplying signals representative of a set of inputted patterns to the input layers of the first and second neural networks, training the first and second neural networks using a competitive learning algorithm, and generating topological representations of the input patterns using the first and second neural networks The method further comprises providing a third neural network for classifying and recognizing the inputted patterns and training the third neural network with a back-propagation algorithm so that the third neural network recognizes at least one interested pattern.",Hybrid neural network for pattern recognition
"A method uses a hybrid neural network including a self organizing mapping neural network (SOM NN) and a, back-propagation neural network (BP NN) for color identification. In the method the red, green and blue (RGB) of color samples are input as features of training samples and are automatically classified by way of SOM NN. Afterwards, the outcomes of SOM NN are respectively delivered to various BP NN for further learning; and the map relationship of the input and the output defines the X,Y, Z corresponding the x, y and z values of a coordinate system of the standard color samples of RGB and IT8. By way of the above learning structure, a non-linear model of color identification can be set up. After color samples are self organized and classified by SOM NN network, data can be categorized in clusters as a result of characteristic difference thereof. Then the data are respectively sent to BP NN for learning whereby-the learning system not only can be quickly converged but also lower error discrepancy in operation effectively.",Hybrid neural networks for color identification
"A hybrid frame, phone, diphone, morpheme, and word-level Deep Neural Networks (DNN) in model training and applications-is based on training a regular ASR system, which can be based on Gaussian Mixture Models (GMM) or DNN. All the training data (in the format of features) are aligned with the transcripts in terms of phonemes and words with the timing information and new features are formed in terms of phonemes, diphones, morphemes, and up to words. Regular ASR produces a result lattice with timing information for each word. A feature is then extracted and sent to the word-level DNN for scoring Phoneme features are sent to corresponding DNNs for training. Scores are combined to form the word level scores, a rescored lattice and a new recognition result.","Hybrid phoneme, diphone, morpheme, and word-level deep neural networks"
"The technology relates to converting text to speech utilizing recurrent neural networks (RNNs). The recurrent neural networks may be implemented as multiple modules for determining properties of the text. In embodiments, a part-of-speech RNN module, letter-to-sound RNN module, a linguistic prosody tagger RNN module, and a context awareness and semantic mining RNN module may all be utilized. The properties from the RNN modules are processed by a hyper-structure RNN module that determine the phonetic properties of the input text based on the outputs of the other RNN modules. The hyper-structure RNN module may generate a generation sequence that is capable of being converting to audible speech by a speech synthesizer. The generation sequence may also be optimized by a global optimization module prior to being synthesized into audible speech.",Hyper-structure recurrent neural networks for text-to-speech
"A system that identifies attributes of an item depicted in an image using artificial intelligence is provided. For example, the system may use one or more deep belief networks (DBNs) or convolution neural networks (CNNs) trained to analyze images and identify attributes in items depicted in the images. A first artificial intelligence module may analyze an image to determine a type of item depicted in the image. The system may then select a second artificial intelligence module that is associated with the type of item and use the second artificial intelligence module to identify attributes in the item depicted in the image. Identified attributes, if associated with a confidence level over a threshold value, may be provided to a user. The user may provide feedback on the accuracy of the identified attributes, which can be used to further train the first and/or second artificial intelligence modules.",Identification of item attributes using artificial intelligence
"A system that identifies attributes of an item depicted in an image using artificial intelligence is provided. For example, the system may use one or more deep belief networks (DBNs) or convolution neural networks (CNNs) trained to analyze images and identify attributes in items depicted in the images. A first artificial intelligence module may analyze an image to determine a type of item depicted in the image. The system may then select a second artificial intelligence module that is associated with the type of item and use the second artificial intelligence module to identify attributes in the item depicted in the image. Identified attributes, if associated with a confidence level over a threshold value, may be provided to a user. The user may provide feedback on the accuracy of the identified attributes, which can be used to further train the first and/or second artificial intelligence modules.",Identification of item attributes using artificial intelligence
"A method for identifying an object within a video sequence, wherein the video sequence comprises a sequence of images, wherein the method comprises, for each of one or more images of the sequence of images: using a first neural network to determine whether or not an object of a predetermined type is depicted within the image; and in response to the first neural network determining that an object of the predetermined type is depicted within the image, using an ensemble of second neural networks to identify the object determined as being depicted within the image.",Identifying an object within content
"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for using recurrent neural networks to analyze health events. One of the methods includes: processing each of a plurality of initial temporal sequences of health events to generate, for each of the initial temporal sequences, a respective network internal state of a recurrent neural network for each time step in the initial temporal sequence; storing, for each of the initial temporal sequences, one or more of the network internal states for the time steps in the temporal sequence in a repository; obtaining a first temporal sequence; processing the first temporal sequence using the recurrent neural network to generate a sequence internal state for the first temporal sequence; and selecting one or more initial temporal sequences that are likely to include health events that are predictive of future health events in the first temporal sequence.",Identifying predictive health events in temporal sequences using recurrent neural network
"Embodiments are directed to identifying allocation discrepancies. Data models and Benchmark models may be provided to an analysis engine. Discrepancy models may be provided to the analysis engine, such that each discrepancy model may be arranged to include one or more rules. The analysis engine may be employed to search for discrepancies in the data models based on the discrepancy models and the benchmark models. If discrepancies may be identified by the analysis engine, one or more notifications may be provided to one or more users. Also, the discrepancy models may be modified based on subsequent feedback provided by the one or more users. Correlations in the resource allocation values may be identified based on machine learning that includes one or more of linear regression, deep learning neural networks, or the like. And, additional discrepancy models may be provided based on the identified correlations.",Identifying resource allocation discrepancies
"Deep convolutional neural networks receive local and global representations of images as inputs and learn the best representation for a particular feature through multiple convolutional and fully connected layers. A double-column neural network structure receives each of the local and global representations as two heterogeneous parallel inputs to the two columns. After some layers of transformations, the two columns are merged to form the final classifier. Additionally, features may be learned in one of the fully connected layers. The features of the images may be leveraged to boost classification accuracy of other features by learning a regularized double-column neural network.",Image assessment using deep convolutional neural networks
